filename,EPIC,ap
/home/stephanie/code/python/k2phot/lcs/ktwo210359769-c04.csv,210359769,3.5
/home/stephanie/code/python/k2phot/lcs/ktwo210365286-c04.csv,210365286,5
/home/stephanie/code/python/k2phot/lcs/ktwo210371851-c04.csv,210371851,5
/home/stephanie/code/python/k2phot/lcs/ktwo210384590-c04.csv,210384590,5
/home/stephanie/code/python/k2phot/lcs/ktwo210408563-c04.csv,210408563,5
/home/stephanie/code/python/k2phot/lcs/ktwo210419589-c04.csv,210419589,5
/home/stephanie/code/python/k2phot/lcs/ktwo210432080-c04.csv,210432080,3.5
/home/stephanie/code/python/k2phot/lcs/ktwo210451321-c04.csv,210451321,4
/home/stephanie/code/python/k2phot/lcs/ktwo210459199-c04.csv,210459199,3
/home/stephanie/code/python/k2phot/lcs/ktwo210470484-c04.csv,210470484,2
/home/stephanie/code/python/k2phot/lcs/ktwo210489127-c04.csv,210489127,3.5
/home/stephanie/code/python/k2phot/lcs/ktwo210489654-c04.csv,210489654,4.5
/home/stephanie/code/python/k2phot/lcs/ktwo210490365-c04.csv,210490365,3
/home/stephanie/code/python/k2phot/lcs/ktwo210497173-c04.csv,210497173,5.5
/home/stephanie/code/python/k2phot/lcs/ktwo210499476-c04.csv,210499476,4
/home/stephanie/code/python/k2phot/lcs/ktwo210517837-c04.csv,210517837,5
/home/stephanie/code/python/k2phot/lcs/ktwo210523892-c04.csv,210523892,3
/home/stephanie/code/python/k2phot/lcs/ktwo210563410-c04.csv,210563410,2
/home/stephanie/code/python/k2phot/lcs/ktwo210579563-c04.csv,210579563,3.5
/home/stephanie/code/python/k2phot/lcs/ktwo210640966-c04.csv,210640966,5.5
/home/stephanie/code/python/k2phot/lcs/ktwo210643507-c04.csv,210643507,3
/home/stephanie/code/python/k2phot/lcs/ktwo210651981-c04.csv,210651981,6.5
/home/stephanie/code/python/k2phot/lcs/ktwo210667985-c04.csv,210667985,3.5
/home/stephanie/code/python/k2phot/lcs/ktwo210674207-c04.csv,210674207,4.5
/home/stephanie/code/python/k2phot/lcs/ktwo210674406-c04.csv,210674406,6.5
/home/stephanie/code/python/k2phot/lcs/ktwo210675409-c04.csv,210675409,6.5
/home/stephanie/code/python/k2phot/lcs/ktwo210693497-c04.csv,210693497,2.5
/home/stephanie/code/python/k2phot/lcs/ktwo210700098-c04.csv,210700098,5
/home/stephanie/code/python/k2phot/lcs/ktwo210704853-c04.csv,210704853,5
/home/stephanie/code/python/k2phot/lcs/ktwo210707811-c04.csv,210707811,4
/home/stephanie/code/python/k2phot/lcs/ktwo210709514-c04.csv,210709514,6.5
/home/stephanie/code/python/k2phot/lcs/ktwo210718930-c04.csv,210718930,6
/home/stephanie/code/python/k2phot/lcs/ktwo210736105-c04.csv,210736105,2
/home/stephanie/code/python/k2phot/lcs/ktwo2107361050-c04.csv,2107361050,2
/home/stephanie/code/python/k2phot/lcs/ktwo2107361051-c04.csv,2107361051,2
/home/stephanie/code/python/k2phot/lcs/ktwo210741091-c04.csv,210741091,6.5
/home/stephanie/code/python/k2phot/lcs/ktwo210742017-c04.csv,210742017,6
/home/stephanie/code/python/k2phot/lcs/ktwo210742592-c04.csv,210742592,3
/home/stephanie/code/python/k2phot/lcs/ktwo210743724-c04.csv,210743724,3.5
/home/stephanie/code/python/k2phot/lcs/ktwo210744677-c04.csv,210744677,2.5
/home/stephanie/code/python/k2phot/lcs/ktwo210744818-c04.csv,210744818,4
/home/stephanie/code/python/k2phot/lcs/ktwo210754620-c04.csv,210754620,3
/home/stephanie/code/python/k2phot/lcs/ktwo210769813-c04.csv,210769813,4
/home/stephanie/code/python/k2phot/lcs/ktwo210771915-c04.csv,210771915,4
/home/stephanie/code/python/k2phot/lcs/ktwo210772796-c04.csv,210772796,6
/home/stephanie/code/python/k2phot/lcs/ktwo210774807-c04.csv,210774807,5.5
/home/stephanie/code/python/k2phot/lcs/ktwo210786154-c04.csv,210786154,6
/home/stephanie/code/python/k2phot/lcs/ktwo210827030-c04.csv,210827030,4
/home/stephanie/code/python/k2phot/lcs/ktwo210835395-c04.csv,210835395,4
/home/stephanie/code/python/k2phot/lcs/ktwo210865372-c04.csv,210865372,2.5
/home/stephanie/code/python/k2phot/lcs/ktwo210894955-c04.csv,210894955,5
/home/stephanie/code/python/k2phot/lcs/ktwo210941195-c04.csv,210941195,4.5
/home/stephanie/code/python/k2phot/lcs/ktwo210942999-c04.csv,210942999,4
/home/stephanie/code/python/k2phot/lcs/ktwo210963067-c04.csv,210963067,2
/home/stephanie/code/python/k2phot/lcs/ktwo2109630670-c04.csv,2109630670,2
/home/stephanie/code/python/k2phot/lcs/ktwo2109630671-c04.csv,2109630671,2
/home/stephanie/code/python/k2phot/lcs/ktwo210976212-c04.csv,210976212,3
/home/stephanie/code/python/k2phot/lcs/ktwo210980637-c04.csv,210980637,5
/home/stephanie/code/python/k2phot/lcs/ktwo211019716-c04.csv,211019716,6.5
/home/stephanie/code/python/k2phot/lcs/ktwo211026112-c04.csv,211026112,5
/home/stephanie/code/python/k2phot/lcs/ktwo211036776-c04.csv,211036776,4.5
/home/stephanie/code/python/k2phot/lcs/ktwo211041649-c04.csv,211041649,5.5
/home/stephanie/code/python/k2phot/lcs/ktwo211049709-c04.csv,211049709,6
/home/stephanie/code/python/k2phot/lcs/ktwo211058178-c04.csv,211058178,4.5
/home/stephanie/code/python/k2phot/lcs/ktwo211084463-c04.csv,211084463,3
/home/stephanie/code/python/k2phot/lcs/ktwo211088189-c04.csv,211088189,2
/home/stephanie/code/python/k2phot/lcs/ktwo211137806-c04.csv,211137806,3
/home/stephanie/code/python/k2phot/lcs/ktwo211169647-c04.csv,211169647,6.5
/home/stephanie/code/python/k2phot/lcs/ktwo211201094-c04.csv,211201094,6.5
